HRYEAR4,GEREG,HEFAMINC,HES1D,HES8B,HESC3,HESC3A,HESH1,HESHF4,HESP6,HESS2,HESS6,HESSH1,HESSH2,HESSH3,HESSH4,HETS2O,HETS6O,HETS8CO,HETS8O,HETS8OU,HETSSHMF2,HETSSHMF3,HRFS12M1,HRFS12M8,HRFS12MC,HRFS12MD,HRFS30D1,HRFS30D2,HRFS30D5,HRFS30D8,HRNUMHOU,PEDISOUT,PEEDUCA,PEMARITL,PESEX,PRCITSHP,PRDISFLG,PRDTIND1,PREMPNOT,PRMJOCC1,PRTAGE,PRWKSTAT,PTDTRACE
2019,3,7,2,1,2,1,3,-1,-1,2,3,2,2,2,2,-1,-1,100,100,100,-1,-1,2,3,1,3,1,2,1,1,3,2,39,1,2,1,2,-1,4,-1,22,1,1
2019,3,7,2,1,2,1,3,-1,-1,2,3,2,2,2,2,-1,-1,100,100,100,-1,-1,2,3,1,3,1,2,1,1,3,2,39,1,1,1,2,34,2,3,21,11,1
2019,3,7,2,1,2,1,3,-1,-1,2,3,2,2,2,2,-1,-1,100,100,100,-1,-1,2,3,1,3,1,2,1,1,3,-1,-1,-1,2,1,-1,-1,-1,-1,0,-1,1
2019,3,11,2,2,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,50,20,-1,70,110,-1,-1,1,1,-1,1,1,1,-1,1,1,2,43,6,2,1,2,46,1,1,27,2,2
2019,3,15,2,1,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,260,-1,100,260,350,-1,-1,1,1,-1,1,1,1,-1,1,6,2,43,1,1,1,2,4,1,1,49,2,1
2019,3,15,2,1,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,260,-1,100,260,350,-1,-1,1,1,-1,1,1,1,-1,1,6,2,36,6,2,1,1,-1,4,-1,24,1,1
2019,3,15,2,1,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,260,-1,100,260,350,-1,-1,1,1,-1,1,1,1,-1,1,6,-1,39,6,1,1,-1,-1,-1,-1,27,-1,1
2019,3,15,2,1,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,260,-1,100,260,350,-1,-1,1,1,-1,1,1,1,-1,1,6,2,39,6,1,1,2,34,2,1,25,11,1
2019,3,15,2,1,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,260,-1,100,260,350,-1,-1,1,1,-1,1,1,1,-1,1,6,2,39,6,1,1,2,4,1,7,20,4,1
2019,3,15,2,1,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,260,-1,100,260,350,-1,-1,1,1,-1,1,1,1,-1,1,6,2,39,1,2,1,2,-1,4,-1,49,1,1
2019,4,1,2,3,2,2,3,-1,2,3,3,-1,-1,-1,-1,80,-1,-1,130,80,-1,-1,1,1,1,1,1,1,1,1,2,2,40,5,2,1,2,-1,4,-1,36,1,1
2019,4,1,2,3,2,2,3,-1,2,3,3,-1,-1,-1,-1,80,-1,-1,130,80,-1,-1,1,1,1,1,1,1,1,1,2,2,36,6,1,1,2,-1,4,-1,15,1,1
2019,4,13,1,2,2,-2,-1,3,-1,3,-1,2,-1,-1,-1,80,-1,-1,160,80,-1,-1,1,2,-1,2,1,1,-1,1,2,2,40,4,2,4,2,44,2,5,44,11,4
2019,4,13,1,2,2,-2,-1,3,-1,3,-1,2,-1,-1,-1,80,-1,-1,160,80,-1,-1,1,2,-1,2,1,1,-1,1,2,2,40,3,2,1,1,46,1,1,42,2,1
2019,4,10,2,3,2,1,3,-1,2,3,3,-1,-1,-1,-1,300,290,-1,630,500,-1,-1,1,1,1,1,1,1,1,1,5,2,39,1,2,1,2,44,1,3,44,7,1
2019,4,10,2,3,2,1,3,-1,2,3,3,-1,-1,-1,-1,300,290,-1,630,500,-1,-1,1,1,1,1,1,1,1,1,5,2,37,1,1,1,2,23,1,10,46,2,1
2019,4,10,2,3,2,1,3,-1,2,3,3,-1,-1,-1,-1,300,290,-1,630,500,-1,-1,1,1,1,1,1,1,1,1,5,-1,-1,-1,2,1,-1,-1,-1,-1,13,-1,1
2019,4,10,2,3,2,1,3,-1,2,3,3,-1,-1,-1,-1,300,290,-1,630,500,-1,-1,1,1,1,1,1,1,1,1,5,-1,-1,-1,2,1,-1,-1,-1,-1,10,-1,1
2019,4,10,2,3,2,1,3,-1,2,3,3,-1,-1,-1,-1,300,290,-1,630,500,-1,-1,1,1,1,1,1,1,1,1,5,-1,-1,-1,1,1,-1,-1,-1,-1,6,-1,1
2019,4,6,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,60,60,-1,120,70,-1,-1,1,1,-1,1,1,1,-1,1,4,2,42,1,2,1,2,40,1,3,53,10,1
2019,4,6,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,60,60,-1,120,70,-1,-1,1,1,-1,1,1,1,-1,1,4,2,42,1,1,1,2,17,1,9,54,2,1
2019,4,6,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,60,60,-1,120,70,-1,-1,1,1,-1,1,1,1,-1,1,4,1,40,6,1,1,1,44,1,5,23,7,1
2019,4,6,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,60,60,-1,120,70,-1,-1,1,1,-1,1,1,1,-1,1,4,2,40,6,1,1,2,13,1,9,23,2,1
2019,4,8,2,3,2,2,3,-1,2,3,3,-1,-1,-1,-1,40,10,-1,40,10,-1,-1,1,1,1,1,1,1,1,1,2,2,39,6,2,1,2,46,1,3,38,2,1
2019,4,8,2,3,2,2,3,-1,2,3,3,-1,-1,-1,-1,40,10,-1,40,10,-1,-1,1,1,1,1,1,1,1,1,2,-1,-1,-1,1,1,-1,-1,-1,-1,14,-1,1
2019,4,11,2,3,2,1,3,-1,1,3,3,-1,-1,-1,-1,20,40,-1,480,80,-1,-1,1,1,1,1,1,1,1,1,4,2,39,1,1,1,2,51,1,7,37,2,3
2019,4,11,2,3,2,1,3,-1,1,3,3,-1,-1,-1,-1,20,40,-1,480,80,-1,-1,1,1,1,1,1,1,1,1,4,2,40,1,2,1,2,14,1,4,40,7,1
2019,4,11,2,3,2,1,3,-1,1,3,3,-1,-1,-1,-1,20,40,-1,480,80,-1,-1,1,1,1,1,1,1,1,1,4,2,36,6,1,1,1,16,2,9,17,12,3
2019,4,11,2,3,2,1,3,-1,1,3,3,-1,-1,-1,-1,20,40,-1,480,80,-1,-1,1,1,1,1,1,1,1,1,4,-1,-1,-1,2,1,-1,-1,-1,-1,6,-1,3
2019,2,8,2,-1,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,70,-1,-1,80,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,2,39,3,1,1,2,-1,4,-1,69,1,1
2019,2,3,2,-1,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,2,-1,2,1,1,-1,1,1,1,34,3,2,1,1,-1,4,-1,60,1,1
2019,2,9,2,2,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,100,-1,130,230,-1,-1,1,1,-1,1,1,1,-1,1,2,2,39,6,1,1,2,23,1,10,29,7,1
